Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
16	2.076	3	0.71	2.6	1.216	1	43.683
17	2.076	3	0.71	2.6	1.216	1	43.332
18	2.076	3	0.71	2.6	1.216	1	43.424
19	2.076	3	0.71	2.6	1.216	1	43.783
20	2.076	3	0.71	2.6	1.216	1	43.753
0	1.086	3	0.71	2.8	1.216	1	0.031
1	1.128	3	0.71	2.8	1.216	1	0.024
2	1.212	3	0.71	2.8	1.216	1	0.023
3	1.343	3	0.71	2.8	1.216	1	0.03
4	1.497	3	0.71	2.8	1.216	1	0.041
5	1.569	3	0.71	2.8	1.216	1	0.053
6	1.609	3	0.71	2.8	1.216	1	0.101
7	1.651	3	0.71	2.8	1.216	1	0.228
8	1.669	3	0.71	2.8	1.216	1	0.511
9	1.686	3	0.71	2.8	1.216	1	1.132
10	1.695	3	0.71	2.8	1.216	1	2.446
11	1.699	3	0.71	2.8	1.216	1	4.957
12	1.702	3	0.71	2.8	1.216	1	9.79
13	1.704	3	0.71	2.8	1.216	1	14.35
14	1.704	3	0.71	2.8	1.216	1	28.361
15	1.705	3	0.71	2.8	1.216	1	43.527
16	1.705	3	0.71	2.8	1.216	1	42.882
17	1.706	3	0.71	2.8	1.216	1	43.472
18	1.706	3	0.71	2.8	1.216	1	43.329
19	1.706	3	0.71	2.8	1.216	1	43.204
20	1.707	3	0.71	2.8	1.216	1	43.742
0	1.076	3	0.71	3	1.216	1	0.046
1	1.093	3	0.71	3	1.216	1	0.031
2	1.128	3	0.71	3	1.216	1	0.032
3	1.17	3	0.71	3	1.216	1	0.045
4	1.231	3	0.71	3	1.216	1	0.041
5	1.244	3	0.71	3	1.216	1	0.077
6	1.268	3	0.71	3	1.216	1	0.115
7	1.277	3	0.71	3	1.216	1	0.303
8	1.286	3	0.71	3	1.216	1	0.466
9	1.296	3	0.71	3	1.216	1	1.165
10	1.303	3	0.71	3	1.216	1	2.481
11	1.305	3	0.71	3	1.216	1	4.811
12	1.306	3	0.71	3	1.216	1	9.765
13	1.307	3	0.71	3	1.216	1	13.746
14	1.309	3	0.71	3	1.216	1	28.934
15	1.309	3	0.71	3	1.216	1	43.553
16	1.31	3	0.71	3	1.216	1	42.452
17	1.31	3	0.71	3	1.216	1	43.155
18	1.31	3	0.71	3	1.216	1	43.321
19	1.31	3	0.71	3	1.216	1	43.608
20	1.311	3	0.71	3	1.216	1	43.605
