Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8	Var1_9
20	2.326	2	0.707	1.2	0.95	0.3	1	0.158
0	0.466	2	0.707	1.3	0.95	0.3	1	0.012
1	1.031	2	0.707	1.3	0.95	0.3	1	0.015
2	1.444	2	0.707	1.3	0.95	0.3	1	0.015
3	1.718	2	0.707	1.3	0.95	0.3	1	0.014
4	1.872	2	0.707	1.3	0.95	0.3	1	0.013
5	1.943	2	0.707	1.3	0.95	0.3	1	0.01
6	1.987	2	0.707	1.3	0.95	0.3	1	0.014
7	2.047	2	0.707	1.3	0.95	0.3	1	0.014
8	2.033	2	0.707	1.3	0.95	0.3	1	0.016
9	2.035	2	0.707	1.3	0.95	0.3	1	0.02
10	2.031	2	0.707	1.3	0.95	0.3	1	0.022
11	2.029	2	0.707	1.3	0.95	0.3	1	0.022
12	2.03	2	0.707	1.3	0.95	0.3	1	0.031
13	2.031	2	0.707	1.3	0.95	0.3	1	0.032
14	2.03	2	0.707	1.3	0.95	0.3	1	0.041
15	2.032	2	0.707	1.3	0.95	0.3	1	0.056
16	2.033	2	0.707	1.3	0.95	0.3	1	0.061
17	2.033	2	0.707	1.3	0.95	0.3	1	0.066
18	2.033	2	0.707	1.3	0.95	0.3	1	0.091
19	2.033	2	0.707	1.3	0.95	0.3	1	0.117
20	2.033	2	0.707	1.3	0.95	0.3	1	0.141
0	0.457	2	0.707	1.4	0.95	0.3	1	0.009
1	1	2	0.707	1.4	0.95	0.3	1	0.013
2	1.513	2	0.707	1.4	0.95	0.3	1	0.011
3	1.778	2	0.707	1.4	0.95	0.3	1	0.013
4	1.98	2	0.707	1.4	0.95	0.3	1	0.01
5	2.077	2	0.707	1.4	0.95	0.3	1	0.01
6	2.137	2	0.707	1.4	0.95	0.3	1	0.014
7	2.166	2	0.707	1.4	0.95	0.3	1	0.015
8	2.181	2	0.707	1.4	0.95	0.3	1	0.014
9	2.184	2	0.707	1.4	0.95	0.3	1	0.018
10	2.186	2	0.707	1.4	0.95	0.3	1	0.018
11	2.183	2	0.707	1.4	0.95	0.3	1	0.021
12	2.183	2	0.707	1.4	0.95	0.3	1	0.027
13	2.185	2	0.707	1.4	0.95	0.3	1	0.034
14	2.184	2	0.707	1.4	0.95	0.3	1	0.037
15	2.184	2	0.707	1.4	0.95	0.3	1	0.053
16	2.184	2	0.707	1.4	0.95	0.3	1	0.064
17	2.184	2	0.707	1.4	0.95	0.3	1	0.07
18	2.183	2	0.707	1.4	0.95	0.3	1	0.087
19	2.183	2	0.707	1.4	0.95	0.3	1	0.13
20	2.183	2	0.707	1.4	0.95	0.3	1	0.131
0	0.449	2	0.707	1.5	0.95	0.3	1	0.01
1	1.042	2	0.707	1.5	0.95	0.3	1	0.011
2	1.482	2	0.707	1.5	0.95	0.3	1	0.01
3	1.777	2	0.707	1.5	0.95	0.3	1	0.01
4	1.907	2	0.707	1.5	0.95	0.3	1	0.013
5	1.969	2	0.707	1.5	0.95	0.3	1	0.01
6	2.009	2	0.707	1.5	0.95	0.3	1	0.01
7	2.03	2	0.707	1.5	0.95	0.3	1	0.012
8	2.09	2	0.707	1.5	0.95	0.3	1	0.017
9	2.051	2	0.707	1.5	0.95	0.3	1	0.015
10	2.053	2	0.707	1.5	0.95	0.3	1	0.017
11	2.055	2	0.707	1.5	0.95	0.3	1	0.021
12	2.054	2	0.707	1.5	0.95	0.3	1	0.026
13	2.054	2	0.707	1.5	0.95	0.3	1	0.036
14	2.059	2	0.707	1.5	0.95	0.3	1	0.045
15	2.055	2	0.707	1.5	0.95	0.3	1	0.056
16	2.055	2	0.707	1.5	0.95	0.3	1	0.069
17	2.055	2	0.707	1.5	0.95	0.3	1	0.075
18	2.055	2	0.707	1.5	0.95	0.3	1	0.1
19	2.054	2	0.707	1.5	0.95	0.3	1	0.122
20	2.055	2	0.707	1.5	0.95	0.3	1	0.151
0	0.442	2	0.707	1.6	0.95	0.3	1	0.014
1	1.301	2	0.707	1.6	0.95	0.3	1	0.013
2	1.842	2	0.707	1.6	0.95	0.3	1	0.014
3	2.203	2	0.707	1.6	0.95	0.3	1	0.013
4	2.374	2	0.707	1.6	0.95	0.3	1	0.014
5	2.459	2	0.707	1.6	0.95	0.3	1	0.012
6	2.509	2	0.707	1.6	0.95	0.3	1	0.016
7	2.53	2	0.707	1.6	0.95	0.3	1	0.016
8	2.547	2	0.707	1.6	0.95	0.3	1	0.019
9	2.553	2	0.707	1.6	0.95	0.3	1	0.021
10	2.559	2	0.707	1.6	0.95	0.3	1	0.021
11	2.558	2	0.707	1.6	0.95	0.3	1	0.027
12	2.56	2	0.707	1.6	0.95	0.3	1	0.026
13	2.559	2	0.707	1.6	0.95	0.3	1	0.035
14	2.56	2	0.707	1.6	0.95	0.3	1	0.041
15	2.56	2	0.707	1.6	0.95	0.3	1	0.058
16	2.561	2	0.707	1.6	0.95	0.3	1	0.074
17	2.56	2	0.707	1.6	0.95	0.3	1	0.086
18	2.56	2	0.707	1.6	0.95	0.3	1	0.1
19	2.56	2	0.707	1.6	0.95	0.3	1	0.121
20	2.561	2	0.707	1.6	0.95	0.3	1	0.148
0	0.437	2	0.707	1.7	0.95	0.3	1	0.01
